event_id,announcement_date,filer,target_named_in_document,target_source,secid,secid_in_reference_book,procedure_price,market_close_before,price_to_market,status
e1-ix-3013746,2020-05-18,"Публичное акционерное общество ""Трубная Металлургическая Компания""","Публичное акционерное общество ""Трубная Металлургическая Компания""",filer,TRMK-002D,TRMK-002D,61,,,no_pre_event_market_data
e1-ix-3020402,2020-06-01,Публичное акционерное общество «Центр по перевозке грузов в контейнерах «ТрансКонтейнер»,ПАО «ТрансКонтейнер»,document,TRCN,TRCN,8679.52,8375.0,1.036,ok
e1-ix-3040463,2020-07-14,"Публичное акционерное общество ""САФМАР Финансовые инвестиции""","Публичное акционерное общество ""САФМАР Финансовые инвестиции""",filer,,,534.33,,,target_not_listed_on_moex
e1-ix-3045208,2020-07-28,Публичное акционерное общество «Русполимет»,Публичное акционерное общество «Русполимет»,filer,RUSP,RUSP,0.61,0.6185,0.986,ok
e1-ix-3045208,2020-07-28,Публичное акционерное общество «Русполимет»,Публичное акционерное общество «Русполимет»,filer,RUSP,RUSP,0.61,0.6185,0.986,ok
e1-ix-3048364,2020-08-05,"Публичное акционерное общество ""Дальневосточная энергетическая компания""",ПАО «ДЭК»,document,DVEC,DVEC,0.929,0.96,0.968,ok
e1-ix-3057339,2020-08-26,Публичное акционерное общество «Селигдар»,Публичное акционерное общество «Селигдар»,filer,SELG,SELG,26.5,46.09,0.575,ok
e1-ix-3057339,2020-08-26,Публичное акционерное общество «Селигдар»,Публичное акционерное общество «Селигдар»,filer,SELG,SELG,26.5,46.09,0.575,ok
e1-ix-3057339,2020-08-26,Публичное акционерное общество «Селигдар»,Публичное акционерное общество «Селигдар»,filer,SELG,SELG,26.5,46.09,0.575,ok
e1-ix-3057339,2020-08-26,Публичное акционерное общество «Селигдар»,Публичное акционерное общество «Селигдар»,filer,SELG-002D,SELG-002D,26.5,,,no_pre_event_market_data
e1-ix-3057339,2020-08-26,Публичное акционерное общество «Селигдар»,Публичное акционерное общество «Селигдар»,filer,SELG-002D,SELG-002D,26.5,,,no_pre_event_market_data
e1-ix-3057339,2020-08-26,Публичное акционерное общество «Селигдар»,Публичное акционерное общество «Селигдар»,filer,SELG-003D,SELG-003D,26.5,,,no_pre_event_market_data
e1-ix-3057339,2020-08-26,Публичное акционерное общество «Селигдар»,Публичное акционерное общество «Селигдар»,filer,SELG-003D,SELG-003D,26.5,,,no_pre_event_market_data
e1-ix-3057339,2020-08-26,Публичное акционерное общество «Селигдар»,Публичное акционерное общество «Селигдар»,filer,SELGP,SELGP,26.5,34.85,0.76,ok
e1-ix-3057339,2020-08-26,Публичное акционерное общество «Селигдар»,Публичное акционерное общество «Селигдар»,filer,SELGP,SELGP,26.5,34.85,0.76,ok
e1-ix-3147737,2021-04-16,"Публичное акционерное общество ""Челябинский трубопрокатный завод""","Публичное акционерное общество ""Челябинский трубопрокатный завод""",filer,CHEP,CHEP,318.26,311.5,1.022,ok
e1-ix-3206997,2021-09-09,Иркутское публичное акционерное общество энергетики и электрификации,Иркутское публичное акционерное общество энергетики и электрификации,filer,,,13.82,,,target_not_listed_on_moex
e1-ix-3222898,2021-10-29,"Публичное акционерное общество ""Косогорский металлургический завод""","Публичное акционерное общество ""Косогорский металлургический завод""",filer,KMTZ,KMTZ,129.33,,,no_trades_before_event
e1-azipi-4038640,2022-01-13,"Публичное акционерное общество ""Восток""","Публичное акционерное общество ""Восток""",filer,,,1,,,target_not_listed_on_moex
e1-azipi-4039722,2022-01-17,"Открытое акционерное общество ""Санаторий ""Сестрорецкий курорт""","Открытое акционерное общество ""Санаторий ""Сестрорецкий курорт""",filer,,,3210,,,target_not_listed_on_moex
e1-azipi-4041117,2022-01-21,"Публичное акционерное общество ""Трехгорная мануфактура""","Публичное акционерное общество ""Трехгорная мануфактура""",filer,,,694,,,target_not_listed_on_moex
e1-azipi-4041396,2022-01-24,"Акционерное общество ""Ханты-Мансийскдорстрой""","Акционерное общество ""Ханты-Мансийскдорстрой""",filer,,,353.34,,,target_not_listed_on_moex
e1-azipi-4051857,2022-02-25,"Акционерное общество ""Казанский завод компрессорного машиностроения""","Акционерное общество ""Казанский завод компрессорного машиностроения""",filer,,,6980,,,target_not_listed_on_moex
e1-azipi-4051887,2022-02-25,"Акционерное общество ""Улан-Удэнское приборостроительное производственное объединение""","Акционерное общество ""Улан-Удэнское приборостроительное производственное объединение""",filer,,,5092,,,target_not_listed_on_moex
e1-ix-3263408,2022-03-14,"Публичное акционерное общество ""Территориальная генерирующая компания № 14""",ПАО «ТГК-14»,document,TGKN,TGKN,0.00289,0.00237,1.219,ok
e1-ix-3263408,2022-03-14,"Публичное акционерное общество ""Территориальная генерирующая компания № 14""",ПАО «ТГК-14»,document,TGKN,TGKN,0.00289,0.00237,1.219,ok
e1-ix-3263408,2022-03-14,"Публичное акционерное общество ""Территориальная генерирующая компания № 14""",ПАО «ТГК-14»,document,TGKN-001D,TGKN-001D,0.00289,,,no_pre_event_market_data
e1-ix-3263408,2022-03-14,"Публичное акционерное общество ""Территориальная генерирующая компания № 14""",ПАО «ТГК-14»,document,TGKN-002D,TGKN-002D,0.00289,,,no_pre_event_market_data
e1-ix-3263408,2022-03-14,"Публичное акционерное общество ""Территориальная генерирующая компания № 14""",ПАО «ТГК-14»,document,TGKN-003D,TGKN-003D,0.00289,,,no_pre_event_market_data
e1-azipi-4062239,2022-04-06,"Публичное aкционерное общество ""Светлана""","Публичное aкционерное общество ""Светлана""",filer,,,7.20,,,target_not_listed_on_moex
e1-azipi-4066295,2022-04-19,"Публичное акционерное общество ""Научно-исследовательский институт по измерительной технике""","Публичное акционерное общество ""Научно-исследовательский институт по измерительной технике""",filer,,,1.65,,,target_not_listed_on_moex
e1-azipi-4066130,2022-04-19,"Публичное акционерное общество ""Ярославский радиозавод""","Публичное акционерное общество ""Ярославский радиозавод""",filer,,,11432.36,,,target_not_listed_on_moex
e1-azipi-4072512,2022-05-05,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО  ""АВТОТРАНСПОРТНОЕ ПРЕДПРИЯТИЕ 2606""","ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО  ""АВТОТРАНСПОРТНОЕ ПРЕДПРИЯТИЕ 2606""",filer,,,0.30,,,target_not_listed_on_moex
e1-azipi-4072841,2022-05-05,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""СЕВАСТОПОЛЬСКОЕ АВТОТРАНСПОРТНОЕ ПРЕДПРИЯТИЕ 14369""","ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""СЕВАСТОПОЛЬСКОЕ АВТОТРАНСПОРТНОЕ ПРЕДПРИЯТИЕ 14369""",filer,,,0.89,,,target_not_listed_on_moex
e1-azipi-4074246,2022-05-12,"Публичное акционерное общество ""Витабанк""","Публичное акционерное общество ""Витабанк""",filer,,,7.51,,,target_not_listed_on_moex
e1-azipi-4074790,2022-05-13,"Публичное акционерное общество ""Агрегатный завод""","Публичное акционерное общество ""Агрегатный завод""",filer,,,0.1,,,target_not_listed_on_moex
e1-azipi-4081857,2022-05-30,"Публичное акционерное общество ""Шахаевское""","Публичное акционерное общество ""Шахаевское""",filer,,,3.50,,,target_not_listed_on_moex
e1-azipi-4084802,2022-06-06,"Публичное акционерное общество ""Управление механизации №63""","Публичное акционерное общество ""Управление механизации №63""",filer,,,1,,,target_not_listed_on_moex
e1-azipi-4084465,2022-06-06,"Публичное акционерное общество ""Уралтрансстрой""","Публичное акционерное общество ""Уралтрансстрой""",filer,,,0.2,,,target_not_listed_on_moex
e1-ix-3300254,2022-06-21,Публичное акционерное общество РОСБАНК,Публичное акционерное общество РОСБАНК,filer,ROSB,ROSB,115,111.0,1.036,ok
e1-azipi-4094764,2022-07-01,"Публичное акционерное общество ""Тюменнефтекомплектсервис""","Публичное акционерное общество ""Тюменнефтекомплектсервис""",filer,,,1,,,target_not_listed_on_moex
e1-azipi-4097020,2022-07-06,"Публичное акционерное общество ""Коелгамрамор""","Публичное акционерное общество ""Коелгамрамор""",filer,,,20,,,target_not_listed_on_moex
e1-azipi-4098615,2022-07-12,"Публичное акционерное общество ""Марьинское""","Публичное акционерное общество ""Марьинское""",filer,,,0.50,,,target_not_listed_on_moex
e1-azipi-4099572,2022-07-15,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""СИМФЕРОПОЛЬСКИЙ ОПТОВО-РОЗНИЧНЫЙ ПЛОДООВОЩНОЙ КОМБИНАТ""","ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""СИМФЕРОПОЛЬСКИЙ ОПТОВО-РОЗНИЧНЫЙ ПЛОДООВОЩНОЙ КОМБИНАТ""",filer,,,15.60,,,target_not_listed_on_moex
e1-azipi-4109332,2022-08-26,"Публичное акционерное общество ""Кокс""","Публичное акционерное общество ""Кокс""",filer,KOKS,KOKS,160.7,,,no_pre_event_market_data
e1-azipi-4109332,2022-08-26,"Публичное акционерное общество ""Кокс""","Публичное акционерное общество ""Кокс""",filer,KOKS,KOKS,160.7,,,no_pre_event_market_data
e1-azipi-4109332,2022-08-26,"Публичное акционерное общество ""Кокс""","Публичное акционерное общество ""Кокс""",filer,KSGR,KSGR,160.7,,,no_trades_before_event
e1-azipi-4111097,2022-09-02,"Публичное акционерное общество ""ГОТХ""","Публичное акционерное общество ""ГОТХ""",filer,,,1,,,target_not_listed_on_moex
e1-azipi-4111374,2022-09-05,"Публичное акционерное общество ""Екатеринбургский муниципальный банк""","Публичное акционерное общество ""Екатеринбургский муниципальный банк""",filer,,,170.94,,,target_not_listed_on_moex
e1-azipi-4112687,2022-09-12,"Публичное акционерное общество Агропромышленная фирма ""Кривское""","Публичное акционерное общество Агропромышленная фирма ""Кривское""",filer,,,100,,,target_not_listed_on_moex
e1-ix-3330123,2022-10-04,"Публичное акционерное общество Деревообрабатывающий комбинат ""Красный Октябрь""","Публичное акционерное общество Деревообрабатывающий комбинат ""Красный Октябрь""",filer,KROT,KROT,1.12,308.5,0.004,implausible_ratio
e1-azipi-4120519,2022-10-12,"Открытое акционерное общество ""Сахалинское морское пароходство""","Открытое акционерное общество ""Сахалинское морское пароходство""",filer,,,222.00,,,target_not_listed_on_moex
e1-azipi-4122362,2022-10-19,"Акционерное общество ""Ханты-Мансийскдорстрой""","Акционерное общество ""Ханты-Мансийскдорстрой""",filer,,,200,,,target_not_listed_on_moex
e1-azipi-4122667,2022-10-20,"Публичное акционерное общество ""Международный аэропорт Волгоград""","Публичное акционерное общество ""Международный аэропорт Волгоград""",filer,,,4290,,,target_not_listed_on_moex
e1-azipi-4124754,2022-10-28,"Публичное акционерное общество ""Центротранстехмонтаж""","Публичное акционерное общество ""Центротранстехмонтаж""",filer,,,201,,,target_not_listed_on_moex
e1-azipi-4126742,2022-11-08,"Акционерное общество ""Судостроительный завод ""Вымпел""","АО ""ССЗ ""Вымпел"" (отчет об оценке № 999/2022/1",document,,,0.74,,,target_not_listed_on_moex
e1-azipi-4128822,2022-11-16,"Акционерное общество ""Осетровский речной порт""","Акционерное общество ""Осетровский речной порт""",filer,,,1732.26,,,target_not_listed_on_moex
e1-azipi-4129224,2022-11-17,"Публичное Акционерное Общество ""Иртышское пароходство""","ПАО ""ИРП""",document,,,689.94,,,target_not_listed_on_moex
e1-ix-3341820,2022-11-21,Публичное акционерное общество РОСБАНК,Публичное акционерное общество РОСБАНК,filer,ROSB,ROSB,111,106.0,1.047,ok
e1-azipi-4132134,2022-11-29,"Акционерное общество ""Троицкая камвольная фабрика""","Акционерное общество ""Троицкая камвольная фабрика""",filer,,,414.00,,,target_not_listed_on_moex
e1-azipi-4132453,2022-11-30,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""МУРМАНСКИЙ ТРАЛОВЫЙ ФЛОТ""","ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""МУРМАНСКИЙ ТРАЛОВЫЙ ФЛОТ""",filer,,,51.5,,,target_not_listed_on_moex
e1-azipi-4132957,2022-12-01,"Публичное акционерное общество ""Голицынская птицефабрика""","Публичное акционерное общество ""Голицынская птицефабрика""",filer,,,1.2,,,target_not_listed_on_moex
e1-azipi-4133081,2022-12-01,"Публичное акционерное общество ""Краснополянская птицефабрика""","Публичное акционерное общество ""Краснополянская птицефабрика""",filer,,,1.4,,,target_not_listed_on_moex
e1-azipi-4136224,2022-12-14,"Публичное акционерное общество ""ТНС энерго Ростов-на-Дону""","Публичное акционерное общество ""ТНС энерго Ростов-на-Дону""",filer,RTSB,RTSB,0.592,0.558,1.061,ok
e1-azipi-4136224,2022-12-14,"Публичное акционерное общество ""ТНС энерго Ростов-на-Дону""","Публичное акционерное общество ""ТНС энерго Ростов-на-Дону""",filer,RTSBP,RTSBP,0.592,0.57,1.039,ok
e1-azipi-4136563,2022-12-15,"Публичное акционерное общество ""ТНС энерго Кубань""","Публичное акционерное общество ""ТНС энерго Кубань""",filer,KBSB,KBSB,154,158.0,0.975,ok
e1-azipi-4138916,2022-12-23,"Публичное акционерное общество ""Челябинский трикотаж""","Публичное акционерное общество ""Челябинский трикотаж""",filer,,,0.01,,,target_not_listed_on_moex
e1-azipi-4139706,2022-12-26,"Открытое акционерное общество ""Водстрой""","Открытое акционерное общество ""Водстрой""",filer,,,108,,,target_not_listed_on_moex
e1-azipi-4140835,2022-12-29,"Публичное акционерное общество ""Нижнекамскшина""","ПАО ""Нижнекамскшина""",document,NKSH,NKSH,23.78,22.88,1.039,ok
e1-ix-3354390,2023-01-09,Публичное акционерное общество «ЭЛ5-Энерго»,Публичное акционерное общество «ЭЛ5-Энерго»,filer,ENRU,ELFV,0.48,0.5438,0.883,ok
e1-ix-3354390,2023-01-09,Публичное акционерное общество «ЭЛ5-Энерго»,Публичное акционерное общество «ЭЛ5-Энерго»,filer,ENRU,ELFV,0.48,0.5438,0.883,ok
e1-ix-3354390,2023-01-09,Публичное акционерное общество «ЭЛ5-Энерго»,Публичное акционерное общество «ЭЛ5-Энерго»,filer,ENRU,ENRU,0.48,0.5438,0.883,ok
e1-ix-3354390,2023-01-09,Публичное акционерное общество «ЭЛ5-Энерго»,Публичное акционерное общество «ЭЛ5-Энерго»,filer,ENRU,ENRU,0.48,0.5438,0.883,ok
e1-ix-3354390,2023-01-09,Публичное акционерное общество «ЭЛ5-Энерго»,Публичное акционерное общество «ЭЛ5-Энерго»,filer,ENRU,OGKE,0.48,0.5438,0.883,ok
e1-azipi-4150903,2023-02-08,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХОЛДИНГ ЭРСО""","АО ""ХОЛДИНГ ЭРСО""",document,,,613,,,target_not_listed_on_moex
e1-azipi-4152145,2023-02-14,"Публичное акционерное Общество ""Челябинский машиностроительный завод автомобильных прицепов ""Уралавтоприцеп""","Публичное акционерное Общество ""Челябинский машиностроительный завод автомобильных прицепов ""Уралавтоприцеп""",filer,,,25.14,,,target_not_listed_on_moex
e1-azipi-4158151,2023-03-09,"Публичное акционерное общество ""ГОТХ""","Публичное акционерное общество ""ГОТХ""",filer,,,1,,,target_not_listed_on_moex
e1-azipi-4160272,2023-03-17,"Публичное акционерное общество ""Шуялес""","Публичное акционерное общество ""Шуялес""",filer,,,0.05,,,target_not_listed_on_moex
